rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,466147.0,533383.0,176147.0
North West,1187768.0,1430439.0,535119.0
Yorkshire and The Humber,855567.0,1099008.0,376035.0
East Midlands,691489.0,996085.0,349687.0
West Midlands,852278.0,1119738.0,457498.0
East of England,878176.0,1287306.0,463295.0
London,1178118.0,1454557.0,791150.0
South East,1241049.0,1885171.0,681729.0
South West,839851.0,1218325.0,390679.0
Scotland,808087.0,1164327.0,414457.0
Wales,504004.0,620324.0,222834.0
TOTAL,9502535.0,12808663.0,4858631.0
