rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"324,646","493,722","357,309"
North West,"778,247","1,331,831","1,043,248"
Yorkshire and The Humber,"564,986","980,109","785,516"
East Midlands,"389,833","833,557","813,871"
West Midlands,"522,960","985,786","920,768"
East of England,"442,104","1,092,417","1,094,255"
London,"1,440,215","1,380,841","602,769"
South East,"642,061","1,553,913","1,611,976"
South West,"410,914","1,022,393","1,015,548"
Scotland,"503,522","984,514","898,835"
Wales,"261,866","562,271","523,025"
TOTAL,"6,281,354","11,221,355","9,667,120"
