rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,361096.0,326477.0,336924.0,131707.0,19474.0
North West,1076985.0,913152.0,831992.0,283860.0,47338.0
Yorkshire and The Humber,771067.0,676424.0,649888.0,195150.0,38084.0
East Midlands,703692.0,598896.0,563465.0,140436.0,30773.0
West Midlands,810145.0,703249.0,674462.0,205462.0,36197.0
East of England,1032768.0,812683.0,599936.0,157890.0,25500.0
London,1515328.0,926504.0,624438.0,282243.0,75312.0
South East,1648601.0,1156959.0,752636.0,209233.0,40522.0
South West,942738.0,769469.0,571960.0,135071.0,29617.0
Scotland,891497.0,714938.0,618821.0,127966.0,33650.0
Wales,445886.0,406956.0,363311.0,108588.0,22422.0
TOTAL,10199801.0,8005706.0,6587832.0,1977603.0,398888.0
