rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,509639.0,959178.0,995519.0,241852.0,5192.0
North West,1415111.0,2839949.0,2631985.0,692196.0,20884.0
Yorkshire and The Humber,1219981.0,2050024.0,1834021.0,480206.0,9893.0
East Midlands,1638034.0,1696864.0,1281158.0,357100.0,18110.0
West Midlands,1420795.0,2135508.0,1925719.0,581644.0,22021.0
East of England,1888253.0,1929983.0,1865055.0,753968.0,31406.0
London,389124.0,1612769.0,2749569.0,4183891.0,9956.0
South East,2742897.0,2695975.0,2587232.0,1402941.0,53461.0
South West,1723745.0,1555031.0,1768953.0,733180.0,30349.0
Scotland,1251658.0,1941986.0,1794743.0,435712.0,15956.0
Wales,913867.0,954784.0,1057758.0,230056.0,7939.0
TOTAL,15113104.0,20372049.0,20491713.0,10092748.0,225169.0
