rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,1854439.0,856941.0
North West,5009193.0,2590933.0
Yorkshire and The Humber,3706635.0,1887490.0
East Midlands,3328486.0,1662779.0
West Midlands,3926131.0,2159556.0
East of England,4223717.0,2244948.0
London,5758095.0,3187214.0
South East,6197026.0,3285481.0
South West,4006524.0,1804735.0
Scotland,3733482.0,1706573.0
Wales,2151522.0,1012882.0
TOTAL,43895250.0,22399532.0
